Name,Stages Used,Interpretation,"CIFAR-10, 3 Deep LeNet","CIFAR-10, 20 Deep Resnet","CIFAR-10, 44 Deep Resnet","Middlebury, Farneback optical flow","Middlebury, Stereo SGBM","Strecha MVS, OpenMVG","VOC-2007, Faster RCNN","LFW & CASIA, OpenFace",,,,,
General ISP Stages,,,Top 1 Error,Top 1 Error,Top 1 Error,Mean Error,Mean Error,Average RMSE,Mean Average Precision (higher better),Mean Error,,,,,
V0,None,No change to data,18.7,7.5,6.3,30.0,24.5,0.412,60.7,10,,,,,
V1,"Rto, Rg, Rtr, Renois, Remos",Full reverse,26.7,10.1,9.0,68.0,53.6,xxx,35.3,9.4,,,,,
V2,"Rto, Rg, Rtr, Renois, Remos, Fto",Only do tone mapping,21.6,9.7,8.6,51.1,52.5,xxx,48.2,9.5,,,,,
V3,"Rto, Rg, Rtr, Renois, Remos, Fg",Only do gamut mapping,27.6,10.4,8.9,66.1,51.8,xxx,,,,,,,
V4,"Rto, Rg, Rtr, Renois, Remos, Ftr",Only do transform,24.3,9.6,8.8,63.0,54.2,xxx,,,,,,,
V5,"Rto, Rg, Rtr, Remos",Only do denoise,26.7,9.6,8.1,67.8,42.4,xxx,,,,,,,
V6,"Rto, Rg, Rtr, Renois",Only do demosaic,23.3,8.4,7.4,54.0,35.3,xxx,48.8,8.5,,,,,
V7,Rto,Skip only tone mapping,21.8,7.8,8.0,51.7,27.3,xxx,,,,,,,
V8,"Rto, Rg, Fto",Skip only gamut mapping,18.7,7.4,6.6,30.4,24.3,0.426,,,,,,,
V9,"Rto, Rg, Rtr, Fg, Fto",Skip only transform,18.7,7.7,6.3,33.3,24.5,0.448,,,,,,,
V10,"Rto, Rg, Rtr, Renois, Ftr, Fg, Fto",Skip only denoise,18.1,7.7,7.3,30.5,42.5,0.442,,,,,,,
V11,"Rto, Rg, Rtr, Remos, Ftr, Fg, Fto",Skip only demosaic,20.8,9.2,8.3,44.8,28.1,0.493,,,,,,,
V12,"Rto, Rg, Rtr, Fto","Only do demosaic, denoise, and tone map",18.9,7.7,6.8,33.0,24.5,0.445,,,,,,,
V13,"Rto, Rg, Rtr, Renois, Fto",Only do demosaic and tone map,19.0,8.2,7.2,33.2,33.0,0.454,60.2,8.9,,,,,
Quantization & Distribution,,,,,,,,,,,,,,,
V1,"Rto, Rg, Rtr, Renois, Remos",Raw data w/ linear sampling: 8 bits (Full reverse),26.7,10.1,9.0,68.0,53.6,xxx,,,,,,,
V14,"V1, Requant7",Raw data w/ linear sampling: 7 bits,26.8,10.7,8.9,68.0,52.5,xxx,,,,,,,
V15,"V1, Requant6",Raw data w/ linear sampling: 6 bits,27.6,12.9,11.4,67.7,52.2,xxx,,,,,,,
V16,"V1, Requant5",Raw data w/ linear sampling: 5 bits,30.5,17.1,15.8,68.1,52.0,xxx,,,,,,,
V17,"V1, Requant4",Raw data w/ linear sampling: 4 bits,38.0,27.9,27.2,68,57,xxx,,,,,,,
V18,"V1, Requant3",Raw data w/ linear sampling: 3 bits,53.2,46.5,45.8,68,72,xxx,,,,,,,
V19,"V1, Requant2",Raw data w/ linear sampling: 2 bits,74.0,69.4,69.1,70,90,xxx,,,,,,,
V20,"V1, Requant1",Raw data w/ linear sampling: 1 bit,90.0,90.0,90.0,70,102,xxx,,,,,,,
V2,"Rto, Rg, Rtr, Renois, Remos, Fto",Raw data w/ logarithmic sampling: 8 bits (Only do tone mapping),21.6,9.7,8.6,51.1,52.5,xxx,,,,,,,
V21,"V2, Requant7",Raw data w/ logarithmic sampling: 7 bits,21.6,9.6,8.3,51,52,xxx,,,,,,,
V22,"V2, Requant6",Raw data w/ logarithmic sampling: 6 bits,21.7,10,9,51,52,xxx,,,,,,,
V23,"V2, Requant5",Raw data w/ logarithmic sampling: 5 bits,22.0,10.3,9.7,51,51,xxx,,,,,,,
V24,"V2, Requant4",Raw data w/ logarithmic sampling: 4 bits,22.8,11.4,10.4,52,51,xxx,,,,,,,
V25,"V2, Requant3",Raw data w/ logarithmic sampling: 3 bits,23.9,14.0,13.4,51,53,xxx,,,,,,,
V26,"V2, Requant2",Raw data w/ logarithmic sampling: 2 bits,29.8,21.8,21.1,54,55,xxx,,,,,,,
V27,"V2, Requant1",Raw data w/ logarithmic sampling: 1 bit,46.0,41.4,40.2,61,65,xxx,,,,,,,
V28,"Rto, Rg, Rtr, Renois, Remos, LogNormQuant",Only demosaic w/ CDF sampling: 8 bits,19.0,8.3,7.0,27,34,0.422,1,10,,,,,
V29,"V28, Requant7",Only demosaic w/ CDF sampling: 7 bits,18.8,8.3,7.1,27,34,0.429,1,9,,,,,
V30,"V28, Requant6",Only demosaic w/ CDF sampling: 6 bits,19.0,8.6,7.5,27,34,0.426,1,9,,,,,
V31,"V28, Requant5",Only demosaic w/ CDF sampling: 5 bits,18.9,8.5,7.7,27,35,0.439,1,8,,,,,
V32,"V28, Requant4",Only demosaic w/ CDF sampling: 4 bits,18.6,8.9,7.8,28,36,0.485,1,10,,,,,
V33,"V28, Requant3",Only demosaic w/ CDF sampling: 3 bits,19.9,10.2,8.9,29,38,0.562,1,10,,,,,
V34,"V28, Requant2",Only demosaic w/ CDF sampling: 2 bits,22.3,12.9,11.9,32,44,0.587,1,11,,,,,
V35,"V28, Requant1",Only demosaic w/ CDF sampling: 1 bit,28.4,20.4,19.0,43,55,0.602,0,14,,,,,
V7,Rto,Virgin data w/ linear sampling: 8 bits (Only reverse tone mapping),22,7.8,8.0,51.7,27.3,xxx,,,,,,,
V44,"V7, Requant 7",Virgin data w/ linear sampling: 7 bits,22,8,7,52,29,xxx,,,,,,,
V45,"V7, Requant 6",Virgin data w/ linear sampling: 6 bits,23,9,8,51,31,xxx,,,,,,,
V46,"V7, Requant 5",Virgin data w/ linear sampling: 5 bits,22,10,8,51,34,xxx,,,,,,,
V47,"V7, Requant 4",Virgin data w/ linear sampling: 4 bits,24,12,11,51,38,xxx,,,,,,,
V48,"V7, Requant 3",Virgin data w/ linear sampling: 3 bits,31,22,22,53,45,xxx,,,,,,,
V49,"V7, Requant 2",Virgin data w/ linear sampling: 2 bits,43,36,36,58,62,xxx,,,,,,,
V50,"V7, Requant 1",Virgin data w/ linear sampling: 1 bit,65,62,62,67,85,xxx,,,,,,,
V0,None,Virgin data w/ logarithmic sampling: 8 bits (Virgin),18.7,7.5,6.3,30.0,24.5,0.412,,,,,,,
V51,"V0, Requant 7",Virgin data w/ logarithmic sampling: 7 bits,18.2,8,6,30,26,0.427,,,,,,,
V52,"V0, Requant 6",Virgin data w/ logarithmic sampling: 6 bits,18.1,7,7,30,28,0.434,,,,,,,
V53,"V0, Requant 5",Virgin data w/ logarithmic sampling: 5 bits,18.4,8,6,29,32,0.444,,,,,,,
V54,"V0, Requant 4",Virgin data w/ logarithmic sampling: 4 bits,18.5,8,7,28,35,0.489,,,,,,,
V55,"V0, Requant 3",Virgin data w/ logarithmic sampling: 3 bits,20.0,10,8,30,37,0.546,,,,,,,
V56,"V0, Requant 2",Virgin data w/ logarithmic sampling: 2 bits,23.2,14,12,34,43,0.564,,,,,,,
V57,"V0, Requant 1",Virgin data w/ logarithmic sampling: 1 bit,30.0,22,22,45,54,0.618,,,,,,,
V6,,Only demosaic w/ linear sampling: 8 bits,23,8.4,7.4,54.0,35.3,xxx,,,,,,,
V58,"V6, Requant 7",Only demosaic w/ linear sampling: 7 bits,23,9,7,54,34,xxx,,,,,,,
V59,"V6, Requant 6",Only demosaic w/ linear sampling: 6 bits,24,9,8,54,33,xxx,,,,,,,
V60,"V6, Requant 5",Only demosaic w/ linear sampling: 5 bits,24,12,11,54,36,xxx,,,,,,,
V61,"V6, Requant 4",Only demosaic w/ linear sampling: 4 bits,28,17,17,55,41,xxx,,,,,,,
V62,"V6, Requant 3",Only demosaic w/ linear sampling: 3 bits,37,30,28,56,51,xxx,,,,,,,
V63,"V6, Requant 2",Only demosaic w/ linear sampling: 2 bits,54,49,48,66,73,xxx,,,,,,,
V64,"V6, Requant 1",Only demosaic w/ linear sampling: 1 bit,74,90,90,69,92,xxx,,,,,,,
V13,,Only demosaic w/ logarithmic sampling: 8 bits (demosiac+tonemap),19,8.2,7.2,33.2,33.0,0.454,60.2,8.9,,,,,
V65,"V13, Requant 7",Only demosaic w/ logarithmic sampling: 7 bits,18,8,7,33,33,0.467,58,8,,,,,
V66,"V13, Requant 6",Only demosaic w/ logarithmic sampling: 6 bits,19,8,7,33,33,0.462,59,9,,,,,
V67,"V13, Requant 5",Only demosaic w/ logarithmic sampling: 5 bits,19,8,7,33,34,0.474,58,9,,,,,
V68,"V13, Requant 4",Only demosaic w/ logarithmic sampling: 4 bits,20,9,8,32,36,0.526,57,10,,,,,
V69,"V13, Requant 3",Only demosaic w/ logarithmic sampling: 3 bits,21,11,10,33,39,0.590,54,12,,,,,
V70,"V13, Requant 2",Only demosaic w/ logarithmic sampling: 2 bits,24,14,13,38,44,0.614,48,13,,,,,
V71,"V13, Requant 1",Only demosaic w/ logarithmic sampling: 1 bit,33,26,25,48,54,xxx,35,21,,,,,
Approximate Tone Mapping,,,,,,,,,,,,,,,
V36,"Rto, Rg, Rtr, Renois, PWLFto",Only do demosaic and PWL tone mapping,20.4,8.1,7.0,38,34,0.428,,,,,,,
V37,"Rto, Rg, Rtr, Renois, Remos, PWLFto",Only do PWL tone mapping,23.4,9.6,8.4,54,52,xxx,,,,,,,
Approximate Demosaicing,,,,,,,,,,,,,,,
V38,"V1, DemosSubSamp",Only do subsample demosaic,24.7,12,11,55,38,xxx,,,,,,,
V39,"V1, DemosNN",Only do nearest neighbor demosaic,24.5,12,10,55,38,xxx,,,,,,,
V40,"V1, DemosBilinInter",Only do bilinear interpolation demosaic,26.3,11,10,56,37,xxx,,,,,,,
V41,"Rto, Rg, Rtr, Renois, Remos, DemosSubSamp, Fto",Only do subsample demosaic and tone mapping,20.8,11,10,38,36,0.462,55,8,,,,,
V42,"Rto, Rg, Rtr, Renois, Remos, DemosNN, Fto",Only do nearest neighbor demosaic and tone mapping,20.2,11,10,37,36,0.458,55,9,,,,,
V43,"Rto, Rg, Rtr, Renois, Remos, DemosBilinInter, Fto",Only do bilinear interpolation demosaic and tone mapping,20.8,11,9,38,35,0.464,56,9,,,,,
Resolution,,,,,,,,,,,,,,,
V72/V0,,No change (high res CIFAR-10),39.6,26,24.5,,,0.412,,,,,,,
V73,,"Full reverse, subsample demosaic, ¼ res binning, tone map",40.9,28,26.5,,,1.162,,,,,,,
V74,,"Full reverse, subsample demosaic, 1/16 res binning, tone map",42.8,29,29.0,,,xxx,,,,,,,
V75,,"Full reverse, subsample demosaic, 1/64 res binning, tone map",46,35,32.3,,,xxx,,,,,,,
